Unnamed: 0,City,Latitude,Longitude,Hotels,hotel_process,hotel_final
0,Aamby Valley City,18.5726,73.4049,hotels/1.json,hotels/1_short.json,hotels/preprocessed_1_short.json
1,Abhaneri,27.0056,76.6102,hotels/2.json,hotels/2_short.json,hotels/preprocessed_2_short.json
2,Achooranam,11.5934,76.0131,hotels/3.json,hotels/3_short.json,hotels/preprocessed_3_short.json
3,Acharapakkam,12.4077,79.817,hotels/4.json,hotels/4_short.json,hotels/preprocessed_4_short.json
4,Achrol,27.133,75.9567,hotels/5.json,hotels/5_short.json,hotels/preprocessed_5_short.json
5,Adilabad,19.6766,78.5321,hotels/6.json,hotels/6_short.json,hotels/preprocessed_6_short.json
6,Adimaly,10.0115,76.9528,hotels/7.json,hotels/7_short.json,hotels/preprocessed_7_short.json
7,Adipur,23.0732,70.0881,hotels/8.json,hotels/8_short.json,hotels/preprocessed_8_short.json
8,Adoni,15.6319,77.2759,hotels/9.json,hotels/9_short.json,hotels/preprocessed_9_short.json
9,Adoor,9.153,76.7356,hotels/10.json,hotels/10_short.json,hotels/preprocessed_10_short.json
10,Agartala,23.8315,91.2868,hotels/11.json,hotels/11_short.json,hotels/preprocessed_11_short.json
11,Agatti,10.8576,72.1934,hotels/12.json,hotels/12_short.json,hotels/preprocessed_12_short.json
12,Goa,15.2993,74.124,hotels/13.json,hotels/13_short.json,hotels/preprocessed_13_short.json
13,Agra,27.1767,78.0081,hotels/14.json,hotels/14_short.json,hotels/preprocessed_14_short.json
14,Agumbe,13.5027,75.0903,hotels/15.json,hotels/15_short.json,hotels/preprocessed_15_short.json
15,Etmadpur,27.2333,78.1992,hotels/16.json,hotels/16_short.json,hotels/preprocessed_16_short.json
16,Ahmedabad,23.0225,72.5714,hotels/17.json,hotels/17_short.json,hotels/preprocessed_17_short.json
17,Kalol,23.2418,72.493,hotels/18.json,hotels/18_short.json,hotels/preprocessed_18_short.json
18,Ahmednagar,19.0948,74.748,hotels/19.json,hotels/19_short.json,hotels/preprocessed_19_short.json
19,Aizawl,23.7307,92.7173,hotels/20.json,hotels/20_short.json,hotels/preprocessed_20_short.json
20,Ahwa,20.7606,73.6912,hotels/21.json,hotels/21_short.json,hotels/preprocessed_21_short.json
21,Ajanta,20.5513,75.7069,hotels/22.json,hotels/22_short.json,hotels/preprocessed_22_short.json
22,Ajmer,26.4499,74.6399,hotels/23.json,hotels/23_short.json,hotels/preprocessed_23_short.json
23,Pushkar,26.4886,74.5509,hotels/24.json,hotels/24_short.json,hotels/preprocessed_24_short.json
24,Nimbahera,24.624,74.6893,hotels/25.json,hotels/25_short.json,hotels/preprocessed_25_short.json
25,Kolkata,22.5726,88.3639,hotels/26.json,hotels/26_short.json,hotels/preprocessed_26_short.json
26,Akluj,17.8824,75.0205,hotels/27.json,hotels/27_short.json,hotels/preprocessed_27_short.json
27,Alampur,15.8843,78.1194,hotels/28.json,hotels/28_short.json,hotels/preprocessed_28_short.json
28,Akola,20.7002,77.0082,hotels/29.json,hotels/29_short.json,hotels/preprocessed_29_short.json
29,Alandi,18.6783,73.895,hotels/30.json,hotels/30_short.json,hotels/preprocessed_30_short.json
30,Alappuzha,9.4981,76.3388,hotels/31.json,hotels/31_short.json,hotels/preprocessed_31_short.json
31,Kainakary,9.515,76.3927,hotels/32.json,hotels/32_short.json,hotels/preprocessed_32_short.json
32,Pulinkunnu,9.4573,76.4349,hotels/33.json,hotels/33_short.json,hotels/preprocessed_33_short.json
33,Alchi,34.225,77.1708,hotels/34.json,hotels/34_short.json,hotels/preprocessed_34_short.json
34,Alibaug,18.6584,72.8773,hotels/35.json,hotels/35_short.json,hotels/preprocessed_35_short.json
35,Aligarh,27.8974,78.088,hotels/36.json,hotels/36_short.json,hotels/preprocessed_36_short.json
36,Alipurduar,26.4922,89.532,hotels/37.json,hotels/37_short.json,hotels/preprocessed_37_short.json
37,Prayagraj,25.4358,81.8463,hotels/38.json,hotels/38_short.json,hotels/preprocessed_38_short.json
38,Alirajpur,22.306,74.3558,hotels/39.json,hotels/39_short.json,hotels/preprocessed_39_short.json
39,Almora,29.5892,79.6467,hotels/40.json,hotels/40_short.json,hotels/preprocessed_40_short.json
40,Alwar,27.553,76.6346,hotels/41.json,hotels/41_short.json,hotels/preprocessed_41_short.json
41,Amalapuram,16.5775,82.0031,hotels/42.json,hotels/42_short.json,hotels/preprocessed_42_short.json
42,Amaravathi,16.5131,80.5165,hotels/43.json,,
43,Amarkantak,22.6822,81.7532,hotels/44.json,hotels/44_short.json,hotels/preprocessed_44_short.json
44,Ambaji,24.331,72.8517,hotels/45.json,hotels/45_short.json,hotels/preprocessed_45_short.json
45,Ambajogai,18.7271,76.3811,hotels/46.json,hotels/46_short.json,hotels/preprocessed_46_short.json
46,Ambala,30.3752,76.7821,hotels/47.json,hotels/47_short.json,hotels/preprocessed_47_short.json
47,Ambalappuzha,9.3787,76.3628,hotels/48.json,hotels/48_short.json,hotels/preprocessed_48_short.json
48,Ambarnath,19.1825,73.1926,hotels/49.json,hotels/49_short.json,hotels/preprocessed_49_short.json
49,Ambikapur,23.1294,83.1861,hotels/50.json,hotels/50_short.json,hotels/preprocessed_50_short.json
50,Amravati,16.5131,80.5165,hotels/51.json,hotels/51_short.json,hotels/preprocessed_51_short.json
51,Ambur,12.7802,78.7177,hotels/52.json,hotels/52_short.json,hotels/preprocessed_52_short.json
52,Amboli,15.9647,74.0036,hotels/53.json,hotels/53_short.json,hotels/preprocessed_53_short.json
53,Amritsar,31.634,74.8723,hotels/54.json,hotels/54_short.json,hotels/preprocessed_54_short.json
54,Amreli,21.6015,71.2204,hotels/55.json,hotels/55_short.json,hotels/preprocessed_55_short.json
55,Anandpur Sahib,31.2355,76.5013,hotels/56.json,hotels/56_short.json,hotels/preprocessed_56_short.json
56,Anakulam,10.1592,76.9139,hotels/57.json,hotels/57_short.json,hotels/preprocessed_57_short.json
57,Anand,22.5645,72.9289,hotels/58.json,hotels/58_short.json,hotels/preprocessed_58_short.json
58,Vallabh Vidyanagar,22.5459,72.9294,hotels/59.json,hotels/59_short.json,hotels/preprocessed_59_short.json
59,Anantapur,14.6819,77.6006,hotels/60.json,hotels/60_short.json,hotels/preprocessed_60_short.json
60,Anantnag,33.7311,75.1487,hotels/61.json,hotels/61_short.json,hotels/preprocessed_61_short.json
61,Anaviratty,10.0172,76.9917,hotels/62.json,hotels/62_short.json,hotels/preprocessed_62_short.json
62,Andhakaranazhy,9.7081,76.4107,hotels/63.json,hotels/63_short.json,hotels/preprocessed_63_short.json
63,Andanallur,10.8736,78.5981,hotels/64.json,hotels/64_short.json,hotels/preprocessed_64_short.json
64,Angul,20.8444,85.1511,hotels/65.json,hotels/65_short.json,hotels/preprocessed_65_short.json
65,Anchal,8.93,76.9065,hotels/66.json,hotels/66_short.json,hotels/preprocessed_66_short.json
66,Andretta,32.0401,76.5676,hotels/67.json,hotels/67_short.json,hotels/preprocessed_67_short.json
67,Anjarle,17.8568,73.0966,hotels/68.json,hotels/68_short.json,hotels/preprocessed_68_short.json
68,Anjanvel,17.5537,73.1674,hotels/69.json,hotels/69_short.json,hotels/preprocessed_69_short.json
69,Anjar,23.1167,70.0281,hotels/70.json,hotels/70_short.json,hotels/preprocessed_70_short.json
70,Annavaram,17.2789,82.4013,hotels/71.json,hotels/71_short.json,hotels/preprocessed_71_short.json
71,Ankleshwar,21.6264,73.0152,hotels/72.json,hotels/72_short.json,hotels/preprocessed_72_short.json
72,Ankola,14.6653,74.3001,hotels/73.json,hotels/73_short.json,hotels/preprocessed_73_short.json
73,Antarvedi,16.3227,81.7303,hotels/74.json,hotels/74_short.json,hotels/preprocessed_74_short.json
74,Araku Valley,18.3222,82.8802,hotels/75.json,hotels/75_short.json,hotels/preprocessed_75_short.json
75,Aragonda,13.2813,78.9564,hotels/76.json,,
76,Arakkonam,13.0841,79.6704,hotels/77.json,hotels/77_short.json,hotels/preprocessed_77_short.json
77,Aritar,27.1879,88.6748,hotels/78.json,hotels/78_short.json,hotels/preprocessed_78_short.json
78,Arayankavu,9.8332,76.423,hotels/79.json,hotels/79_short.json,hotels/preprocessed_79_short.json
79,Ariyurnadu,11.2896,78.3899,hotels/80.json,hotels/80_short.json,hotels/preprocessed_80_short.json
80,Ariyankuppam,11.8958,79.8046,hotels/81.json,hotels/81_short.json,hotels/preprocessed_81_short.json
81,Aronda,15.7356,73.7176,hotels/82.json,hotels/82_short.json,hotels/preprocessed_82_short.json
82,Arki,31.1521,76.9686,hotels/83.json,hotels/83_short.json,hotels/preprocessed_83_short.json
83,Asansol,23.6889,86.9661,hotels/84.json,hotels/84_short.json,hotels/preprocessed_84_short.json
84,Athirappilly,10.2908,76.5156,hotels/85.json,hotels/85_short.json,hotels/preprocessed_85_short.json
85,Astakatti,15.094,75.0524,hotels/86.json,,
86,Athipotta,10.6698,76.4823,hotels/87.json,hotels/87_short.json,hotels/preprocessed_87_short.json
87,Auli,30.5289,79.5703,hotels/88.json,hotels/88_short.json,hotels/preprocessed_88_short.json
88,Attingal,8.6982,76.8137,hotels/89.json,hotels/89_short.json,hotels/preprocessed_89_short.json
89,Joshimath,30.5561,79.5617,hotels/90.json,hotels/90_short.json,hotels/preprocessed_90_short.json
90,Aurangabad,19.8762,75.3433,hotels/91.json,hotels/91_short.json,hotels/preprocessed_91_short.json
91,Auroville,12.0052,79.8069,hotels/92.json,hotels/92_short.json,hotels/preprocessed_92_short.json
