City,Latitude,Longitude,places,places_process,places_final
Aamby Valley City,18.5726,73.4049,places_visit/1.json,1_short.json,places_visit/preprocessed_1_short.json
Abhaneri,27.0056,76.6102,places_visit/2.json,2_short.json,places_visit/preprocessed_2_short.json
Achooranam,11.5934,76.0131,places_visit/3.json,3_short.json,places_visit/preprocessed_3_short.json
Acharapakkam,12.4077,79.817,places_visit/4.json,4_short.json,places_visit/preprocessed_4_short.json
Achrol,27.133,75.9567,places_visit/5.json,5_short.json,places_visit/preprocessed_5_short.json
Adilabad,19.6766,78.5321,places_visit/6.json,6_short.json,places_visit/preprocessed_6_short.json
Adimaly,10.0115,76.9528,places_visit/7.json,7_short.json,places_visit/preprocessed_7_short.json
Adipur,23.0732,70.0881,places_visit/8.json,8_short.json,places_visit/preprocessed_8_short.json
Adoni,15.6319,77.2759,places_visit/9.json,9_short.json,places_visit/preprocessed_9_short.json
Adoor,9.153,76.7356,places_visit/10.json,10_short.json,places_visit/preprocessed_10_short.json
Agartala,23.8315,91.2868,places_visit/11.json,11_short.json,places_visit/preprocessed_11_short.json
Agatti,10.8576,72.1934,places_visit/12.json,12_short.json,places_visit/preprocessed_12_short.json
Goa,15.2993,74.124,places_visit/13.json,13_short.json,places_visit/preprocessed_13_short.json
Agra,27.1767,78.0081,places_visit/14.json,14_short.json,places_visit/preprocessed_14_short.json
Agumbe,13.5027,75.0903,places_visit/15.json,15_short.json,places_visit/preprocessed_15_short.json
Etmadpur,27.2333,78.1992,places_visit/16.json,16_short.json,places_visit/preprocessed_16_short.json
Ahmedabad,23.0225,72.5714,places_visit/17.json,17_short.json,places_visit/preprocessed_17_short.json
Kalol,23.2418,72.493,places_visit/18.json,18_short.json,places_visit/preprocessed_18_short.json
Ahmednagar,19.0948,74.748,places_visit/19.json,19_short.json,places_visit/preprocessed_19_short.json
Aizawl,23.7307,92.7173,places_visit/20.json,20_short.json,places_visit/preprocessed_20_short.json
Ahwa,20.7606,73.6912,places_visit/21.json,21_short.json,places_visit/preprocessed_21_short.json
Ajanta,20.5513,75.7069,places_visit/22.json,22_short.json,places_visit/preprocessed_22_short.json
Ajmer,26.4499,74.6399,places_visit/23.json,23_short.json,places_visit/preprocessed_23_short.json
Pushkar,26.4886,74.5509,places_visit/24.json,24_short.json,places_visit/preprocessed_24_short.json
Nimbahera,24.624,74.6893,places_visit/25.json,25_short.json,places_visit/preprocessed_25_short.json
Kolkata,22.5726,88.3639,places_visit/26.json,26_short.json,places_visit/preprocessed_26_short.json
Akluj,17.8824,75.0205,places_visit/27.json,27_short.json,places_visit/preprocessed_27_short.json
Alampur,15.8843,78.1194,places_visit/28.json,28_short.json,places_visit/preprocessed_28_short.json
Akola,20.7002,77.0082,places_visit/29.json,29_short.json,places_visit/preprocessed_29_short.json
Alandi,18.6783,73.895,places_visit/30.json,30_short.json,places_visit/preprocessed_30_short.json
Alappuzha,9.4981,76.3388,places_visit/31.json,31_short.json,places_visit/preprocessed_31_short.json
Kainakary,9.515,76.3927,places_visit/32.json,32_short.json,places_visit/preprocessed_32_short.json
Pulinkunnu,9.4573,76.4349,places_visit/33.json,33_short.json,places_visit/preprocessed_33_short.json
Alchi,34.225,77.1708,places_visit/34.json,34_short.json,places_visit/preprocessed_34_short.json
Alibaug,18.6584,72.8773,places_visit/35.json,35_short.json,places_visit/preprocessed_35_short.json
Aligarh,27.8974,78.088,places_visit/36.json,36_short.json,places_visit/preprocessed_36_short.json
Alipurduar,26.4922,89.532,places_visit/37.json,37_short.json,places_visit/preprocessed_37_short.json
Prayagraj,25.4358,81.8463,places_visit/38.json,38_short.json,places_visit/preprocessed_38_short.json
Alirajpur,22.306,74.3558,places_visit/39.json,39_short.json,places_visit/preprocessed_39_short.json
Almora,29.5892,79.6467,places_visit/40.json,40_short.json,places_visit/preprocessed_40_short.json
Alwar,27.553,76.6346,places_visit/41.json,41_short.json,places_visit/preprocessed_41_short.json
Amalapuram,16.5775,82.0031,places_visit/42.json,42_short.json,places_visit/preprocessed_42_short.json
Amaravathi,16.5131,80.5165,places_visit/43.json,43_short.json,places_visit/preprocessed_43_short.json
Amarkantak,22.6822,81.7532,places_visit/44.json,44_short.json,places_visit/preprocessed_44_short.json
Ambaji,24.331,72.8517,places_visit/45.json,45_short.json,places_visit/preprocessed_45_short.json
Ambajogai,18.7271,76.3811,places_visit/46.json,46_short.json,places_visit/preprocessed_46_short.json
Ambala,30.3752,76.7821,places_visit/47.json,47_short.json,places_visit/preprocessed_47_short.json
Ambalappuzha,9.3787,76.3628,places_visit/48.json,48_short.json,places_visit/preprocessed_48_short.json
Ambarnath,19.1825,73.1926,places_visit/49.json,,
Ambikapur,23.1294,83.1861,places_visit/50.json,50_short.json,places_visit/preprocessed_50_short.json
Amravati,16.5131,80.5165,places_visit/51.json,51_short.json,places_visit/preprocessed_51_short.json
Ambur,12.7802,78.7177,places_visit/52.json,52_short.json,places_visit/preprocessed_52_short.json
Amboli,15.9647,74.0036,places_visit/53.json,53_short.json,places_visit/preprocessed_53_short.json
Amritsar,31.634,74.8723,places_visit/54.json,54_short.json,places_visit/preprocessed_54_short.json
Amreli,21.6015,71.2204,places_visit/55.json,55_short.json,places_visit/preprocessed_55_short.json
Anandpur Sahib,31.2355,76.5013,places_visit/56.json,56_short.json,places_visit/preprocessed_56_short.json
Anakulam,10.1592,76.9139,places_visit/57.json,57_short.json,places_visit/preprocessed_57_short.json
Anand,22.5645,72.9289,places_visit/58.json,58_short.json,places_visit/preprocessed_58_short.json
Vallabh Vidyanagar,22.5459,72.9294,places_visit/59.json,59_short.json,places_visit/preprocessed_59_short.json
Anantapur,14.6819,77.6006,places_visit/60.json,60_short.json,places_visit/preprocessed_60_short.json
Anantnag,33.7311,75.1487,places_visit/61.json,61_short.json,places_visit/preprocessed_61_short.json
Anaviratty,10.0172,76.9917,places_visit/62.json,62_short.json,places_visit/preprocessed_62_short.json
Andhakaranazhy,9.7081,76.4107,places_visit/63.json,63_short.json,places_visit/preprocessed_63_short.json
Andanallur,10.8736,78.5981,places_visit/64.json,64_short.json,places_visit/preprocessed_64_short.json
Angul,20.8444,85.1511,places_visit/65.json,65_short.json,places_visit/preprocessed_65_short.json
Anchal,8.93,76.9065,places_visit/66.json,66_short.json,places_visit/preprocessed_66_short.json
Andretta,32.0401,76.5676,places_visit/67.json,67_short.json,places_visit/preprocessed_67_short.json
Anjarle,17.8568,73.0966,places_visit/68.json,68_short.json,places_visit/preprocessed_68_short.json
